diver,nationality,gender,first_compet,last_compet,nb_compet,nb_bo,nb_bo_cwt,nb_bo_cwtb,nb_bo_cnf,nb_bo_fim,nb_red,nb_dives,%_bo,%_bo_cwt,%_bo_cwtb,%_bo_cnf,%_bo_fim
Mojca Haberman ,SVN,F,2019-09-23,2022-09-07,6,2,2,0,0,0,4,16,12.5,12.5,0.0,0.0,0.0
Montserrat Peart Reyes ,MEX,F,2019-04-25,2023-05-26,7,0,0,0,0,0,0,20,0.0,0.0,0.0,0.0,0.0
Natalia Zharkova ,UKR,F,2016-11-03,2021-05-15,19,1,0,0,1,0,5,45,2.2222222222222223,0.0,0.0,2.2222222222222223,0.0
Natalie Rudman ,ZAF,F,2017-08-19,2022-08-23,10,0,0,0,0,0,1,32,0.0,0.0,0.0,0.0,0.0
Nathaniel Leazer ,USA,M,2017-05-14,2023-06-30,7,0,0,0,0,0,2,28,0.0,0.0,0.0,0.0,0.0
Nicky Margieson Schellander ,GBR,F,2018-10-18,2021-10-16,6,0,0,0,0,0,1,20,0.0,0.0,0.0,0.0,0.0
Nicolas Gallot ,FRA,M,2015-05-23,2023-05-26,7,1,0,1,0,0,4,14,7.142857142857143,0.0,7.142857142857143,0.0,0.0
Nicole Edensbo ,SWE,F,2017-09-16,2022-07-27,9,1,0,0,1,0,1,19,5.2631578947368425,0.0,0.0,5.2631578947368425,0.0
Olga Davydova ,RUS,F,2019-09-12,2021-11-22,9,1,0,0,1,0,5,28,3.5714285714285716,0.0,0.0,3.5714285714285716,0.0
Olga Markina ,RUS,F,2017-05-25,2021-07-20,11,2,1,0,0,1,3,21,9.523809523809524,4.761904761904762,0.0,0.0,4.761904761904762
Olga Rodnova ,INT,F,2017-10-24,2023-05-21,10,1,1,0,0,0,3,26,3.8461538461538463,3.8461538461538463,0.0,0.0,0.0
Omar Al Ghailani ,OMN,M,2018-08-27,2022-10-30,7,1,0,1,0,0,1,36,2.7777777777777777,0.0,2.7777777777777777,0.0,0.0
Pavlos Kourtellas ,CYP,M,2016-10-23,2021-09-29,13,0,0,0,0,0,0,18,0.0,0.0,0.0,0.0,0.0
Pedro Tapia ,MEX,M,2021-04-02,2023-05-28,9,1,0,0,1,0,1,30,3.3333333333333335,0.0,0.0,3.3333333333333335,0.0
Pepe Salcedo ,MEX,M,2016-05-26,2023-05-28,21,12,2,2,5,3,20,80,15.0,2.5,2.5,6.25,3.75
Petar Klovar ,HRV,M,2019-09-09,2023-05-17,11,1,0,0,1,0,2,23,4.3478260869565215,0.0,0.0,4.3478260869565215,0.0
Pete Botman ,NLD,M,2016-11-03,2023-05-22,10,2,0,0,2,0,5,27,7.407407407407407,0.0,0.0,7.407407407407407,0.0
Peter Balck ,SWE,M,2017-08-08,2022-08-05,10,1,0,1,0,0,4,34,2.9411764705882355,0.0,2.9411764705882355,0.0,0.0
Petra Maricic ,HRV,F,2019-07-18,2021-08-31,8,0,0,0,0,0,2,22,0.0,0.0,0.0,0.0,0.0
Pierre-Yves Bonnet ,FRA,M,2017-07-20,2022-06-26,6,0,0,0,0,0,0,12,0.0,0.0,0.0,0.0,0.0
Piotr Błaszczak ,POL,M,2020-08-19,2023-06-02,6,0,0,0,0,0,0,17,0.0,0.0,0.0,0.0,0.0
Potti Dingfeng Liu ,CHN,M,2016-04-30,2023-05-23,14,1,0,0,0,1,7,41,2.4390243902439024,0.0,0.0,0.0,2.4390243902439024
Qihong Han ,CHN,F,2021-10-01,2022-10-21,6,0,0,0,0,0,3,19,0.0,0.0,0.0,0.0,0.0
Qin Luo ,CHN,F,2017-09-17,2022-08-08,7,3,0,0,2,1,6,19,15.789473684210526,0.0,0.0,10.526315789473685,5.2631578947368425
Raphael Vilamiu ,BRA,M,2019-05-20,2021-11-22,8,2,0,0,2,0,3,19,10.526315789473685,0.0,0.0,10.526315789473685,0.0
Renee Blundon ,USA,F,2017-10-24,2021-11-22,15,0,0,0,0,0,1,34,0.0,0.0,0.0,0.0,0.0
Ricardo Dario Montans Ponce ,ARG,M,2016-06-04,2022-05-24,8,2,1,0,1,0,3,35,5.714285714285714,2.857142857142857,0.0,2.857142857142857,0.0
Roberto Guzman ,MEX,M,2017-09-23,2023-05-28,13,4,0,1,2,1,8,43,9.30232558139535,0.0,2.3255813953488373,4.651162790697675,2.3255813953488373
Rodolfo Robatti ,CHE,M,2011-07-10,2022-10-26,16,0,0,0,0,0,1,37,0.0,0.0,0.0,0.0,0.0
Ruth Osborn ,GBR,F,2020-10-18,2023-05-22,7,3,0,0,3,0,6,18,16.666666666666668,0.0,0.0,16.666666666666668,0.0
Sahika Ercumen ,TUR,F,2010-05-21,2023-05-17,10,1,0,0,0,1,5,30,3.3333333333333335,0.0,0.0,0.0,3.3333333333333335
Sam Barnes ,AUS,M,2008-11-15,2021-03-21,8,1,1,0,0,0,5,25,4.0,4.0,0.0,0.0,0.0
Sanda Delija ,HRV,F,2018-09-17,2023-07-02,12,0,0,0,0,0,4,28,0.0,0.0,0.0,0.0,0.0
Sergey Zykov ,INT,M,2019-11-09,2023-05-22,7,1,0,1,0,0,3,21,4.761904761904762,0.0,4.761904761904762,0.0,0.0
Seulkee Han ,KOR,M,2018-06-22,2022-10-21,12,0,0,0,0,0,2,24,0.0,0.0,0.0,0.0,0.0
Seunghye Ham ,KOR,F,2018-10-22,2023-04-30,12,1,0,1,0,0,6,32,3.125,0.0,3.125,0.0,0.0
Shaun Parrott ,USA,M,2021-09-23,2023-05-28,6,0,0,0,0,0,2,22,0.0,0.0,0.0,0.0,0.0
Sheena Mcnally ,CAN,F,2018-05-18,2023-07-10,14,1,0,0,0,1,3,54,1.8518518518518519,0.0,0.0,0.0,1.8518518518518519
Shlomi Goldstein ,ISR,M,2016-09-23,2022-09-22,7,2,1,1,0,0,4,11,18.181818181818183,9.090909090909092,9.090909090909092,0.0,0.0
